S0_D_Dist,Villages,Rural_Pct,Province,S0_B_DATE_mean,S1_01_mean,S1_01_2_mean,S1_01_3_mean,S1_01_4_mean,S1_01_5_mean,S1_01_6_mean,S1_01_7_mean,S2_01_mean,S2_01_2_mean,S3_02_2_mean,S3_02_2_2_mean,S3_03_2_mean,S3_03_2_2_mean,S4_02_3_mean,S4_02_3_2_mean,S6_01_mean,S6_01_2_mean,S6_02_mean,S6_02_2_mean
Nyarugenge,30,33.33,Kigali city,13837415040.0,6.33,3.13,3.2,2.5,0.27,1.1,1.1,226.37,226.37,22.29,22.29,31.43,31.43,47.59,47.59,966.67,966.67,2633.33,2633.33
Gasabo,30,50.0,Kigali city,13837360320.0,5.1,2.7,2.4,2.33,0.0,1.0,2.57,374.63,374.63,24.38,24.38,44.81,44.81,42.24,42.24,1196.67,1196.67,2916.67,2916.67
Kicukiro,30,20.0,Kigali city,13837345920.0,5.3,2.33,2.97,2.7,0.67,1.03,0.93,206.9,206.9,16.9,16.9,35.0,35.0,34.29,34.29,1216.67,1216.67,2733.33,2733.33
Nyanza,30,90.0,Southern,13837464000.0,5.9,2.87,3.03,1.77,0.07,1.73,5.6,168.83,168.83,38.08,38.08,63.83,63.83,104.33,104.33,856.67,856.67,1413.33,1413.33
Gisagara,30,96.67,Southern,13837538880.0,8.9,3.27,5.63,2.23,0.33,1.07,8.83,176.37,176.37,32.6,32.6,49.04,49.04,99.5,99.5,850.0,850.0,1436.67,1436.67
Nyaruguru,30,96.67,Southern,13837337280.0,10.73,4.9,5.83,1.87,0.3,1.1,7.43,194.47,194.47,41.75,41.75,56.15,56.15,103.21,103.21,793.33,793.33,2833.33,2833.33
Huye,30,90.0,Southern,13837348800.0,7.9,3.17,4.73,3.3,0.47,1.27,5.17,161.43,161.43,30.43,30.43,53.33,53.33,74.57,74.57,863.33,863.33,1916.67,1916.67
Nyamagabe,30,96.67,Southern,13837360320.0,6.03,3.07,2.97,1.43,0.1,1.33,4.57,137.47,137.47,24.17,24.17,74.64,74.64,121.5,121.5,680.0,680.0,1193.33,1193.33
Ruhango,30,93.33,Southern,13837368960.0,8.63,4.03,4.6,4.03,0.0,1.73,8.53,143.23,143.23,41.11,41.11,83.57,83.57,104.17,104.17,780.0,780.0,1360.0,1360.0
Muhanga,30,93.33,Southern,13837340160.0,13.3,5.77,7.53,2.03,0.37,0.93,12.67,241.43,241.43,44.41,44.41,80.0,80.0,117.76,117.76,716.67,716.67,1256.67,1256.67
